Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMÓVEIS;IPI - VINCULADO À IMPORTACAO;IPI - OUTROS;IRPF;IRPJ - ENTIDADES FINANCEIRAS;IRPJ - DEMAIS EMPRESAS;IRRF - RENDIMENTOS DO TRABALHO;IRRF - RENDIMENTOS DO CAPITAL;IRRF - REMESSAS P/ EXTERIOR;IRRF - OUTROS RENDIMENTOS;IMPOSTO S/ OPERAÇÕES FINANCEIRAS;IMPOSTO TERRITORIAL RURAL;IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF;CPMF;COFINS;COFINS - FINANCEIRAS;COFINS - DEMAIS;CONTRIBUIÇÃO PARA O PIS/PASEP;CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS;CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS;CSLL;CSLL - FINANCEIRAS;CSLL - DEMAIS;CIDE-COMBUSTÍVEIS (parc. não dedutível);CIDE-COMBUSTÍVEIS;CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES;CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público;CONTRIBUICÕES PARA FUNDAF;REFIS;PAES;RETENÇÃO NA FONTE - LEI 10.833, Art. 30;PAGAMENTO UNIFICADO;OUTRAS RECEITAS ADMINISTRADAS;DEMAIS RECEITAS;RECEITA PREVIDENCIÁRIA;RECEITA PREVIDENCIÁRIA - PRÓPRIA;RECEITA PREVIDENCIÁRIA - DEMAIS;ADMINISTRADAS POR OUTROS ÓRGÃOS
2000;Março;GO;4472041;0;3039227;3162297;3934;1802187;2272379;1208159;164585;9809939;12348858;1255240;223050;1359055;740438;189607;0;5076342;43159154;;;9473534;;;5507895;;;;;4857117;;301627;;;;;175816;;;;;
2000;Março;MA;2769145;0;983250;2703036;0;699047;608125;450450;7717;4659173;4079965;249707;39495;268561;85797;202863;0;633105;9375203;;;3856051;;;1499578;;;;;3758267;;92012;;;;;81514;;;;;
2000;Março;MT;185210;0;1566771;1693267;0;180147;496345;666076;1356;3255254;8637253;367257;310826;269769;87938;129021;0;987360;13814802;;;4732456;;;2779430;;;;;5396714;;152721;;;;;88937;;;;;
2000;Março;MS;171083;1260;844898;134915;0;69710;537548;908849;6883;3118228;6950562;408283;16321;505605;103741;125098;0;277093;10961598;;;3231517;;;1534596;;;;;3201941;;81854;;;;;88370;;;;;
2000;Março;MG;38897767;17;14151052;9249928;12681892;18303569;41330478;10072792;20748402;100933705;72605991;11622361;10429755;8044780;3473576;227038;0;21758830;185839612;;;41566113;;;65427645;;;;;24359495;;1672915;;;;;811247;;;;;
2000;Março;PA;1156356;0;2201026;886917;1400;609075;850913;1207662;1184295;7589047;13222577;1006860;260294;827225;242018;185921;0;3538315;16894196;;;5442871;;;6038773;;;;;8352692;;227526;;;;;308912;;;;;
2000;Março;PB;1532436;0;1745940;597509;0;527305;1542007;721437;2320;3610915;7274777;147396;420216;206590;176964;16028;0;286827;10760533;;;4433429;;;2153154;;;;;6171331;;171941;;;;;88997;;;;;
2000;Março;PR;54528178;29;8960381;3738369;28927438;37587088;25477213;6483530;5179881;65248727;49471279;34449107;3038806;5071347;10281747;262972;0;85313689;126302671;;;28502159;;;84652840;;;;;11211694;;993401;;;;;2835140;;;;;
2000;Março;PE;8222719;0;5767054;3401471;0;2666032;8893173;1977445;594210;28491674;29319998;1959563;467868;2169194;862310;51183;0;3856246;45470336;;;13579318;;;11415837;;;;;9957718;;799833;;;;;245707;;;;;
2000;Março;PI;167313;0;779287;479517;0;43720;287835;384176;0;5280872;2668425;808998;44421;165095;45446;36661;0;204844;6793277;;;2086491;;;2158056;;;;;2427508;;71783;;;;;41587;;;;;
2000;Março;RJ;65588102;0;24628039;22368511;1389902;34261272;54682427;38662009;60830313;397514976;310910342;105997299;53556841;24327776;15286348;53252;0;55329803;763795618;;;170540992;;;200273652;;;;;54999446;;3496733;;;;;12734573;;;;;
2000;Março;RN;637663;0;1620931;391301;9829;304190;184138;471393;1536;1620993;4670146;240808;92361;292062;8696;20616;0;78067;10715121;;;2616790;;;1921526;;;;;2940150;;156439;;;;;40862;;;;;
2000;Março;RS;23656856;10533;19086716;6191020;1085235;17221780;52196987;8256411;11255969;54389050;68104838;16168274;3579781;10907216;4698081;176259;0;33857557;176887012;;;36843810;;;27924731;;;;;17204846;;1675143;;;;;909771;;;;;
2000;Março;RO;12843;51;576570;0;33;5374;47193;256496;2272;981158;2702404;104695;1716;128136;7005;20298;0;60393;5247167;;;1472817;;;897840;;;;;4253838;;56605;;;;;39227;;;;;
